Name,Country,Date,Rate,Certificate,Pred_Certificate,Genre,Nudity,Violence,Profanity,Alcohol,Frightening,Summarized_Text
wish dragon,China,2021,7.2,PG,PG,"Animation, Adventure, Comedy",None,Mild,None,Mild,Mild,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wishgranting dragon who shows him the magic of possibilities.
witch hunt,United States,2021,4.3,R,,"Fantasy, Horror, Thriller",No Rate,No Rate,No Rate,No Rate,No Rate," Claire and Fiona continue bonding. When Claire learns Fiona has never been to a bar, Claire sneaks her out of the house to go to Saints and Sinners tavern. There, Claire tells Fiona about Thelma and Louise. Fiona has Claire try the same trick. Fiona tells Claire that Hawthorne took them for questioning. Hawthorne pulls his gun and accuses Claire of being a witch. Hawthorne threatens to shoot Claire unless she uses magic to stop him. Fiona and Shae become trapped behind the walls while the burnt witch, revealed to be Esthers ghost, emerges to attack Hawthorne. Claire has another asthma attack, but channels it into magic she uses to break the wall to rescue Fiona and Shae."
without remorse,United States,2021,5.8,R,PG-13,"Action, Thriller, War",None,Moderate,Mild,Mild,Moderate,"Leaked news of Russias unprecedented attack on American soil has caused the alreadystrained relationship between the two nations to sour further, possibly causing a new cold war. Kelly flies to Murmansk with Greer and a CIA black ops team, planning to Halo jump into Russia. Attacked by a Russian fighter, their plane crashes into the Barents Sea. Kelly dives into the wreckage to recover essential equipment, including a zodiac boat. Kelly goes off mission to confront Rykov, who he finds wearing a suicide vest and claiming that he is a deep cover CIA asset. As police arrive, the team realizes that the mission was a set up to have American soldiers killed on Russian soil to start a war. Kelly buys the team time to reach safety but is badly injured. Back in D. C. , Kelly confronts Clay and forces him into his car. Kelly escapes with a recording of the confession, with the help of Greer, who was waiting in the river with diving gear."
wrath of man,United Kingdom,2021,7.2,R,R,"Action, Crime, Thriller",Mild,Severe,Severe,Mild,Severe,"A Dark SpiritnFive months after the robbery, Patrick Hill Jason Statham joins Fortico Security as an armored truck guard. Bullet and Dave share their suspicions about Hill with each other. Dana takes H out for a date, and H questions Dana at gunpoint about her stash of 125,000. But turns out that there were 2 teams of robbers after the truck. Racing back to his son, Hill watches as Dougie is executed, and is shot himself and left for dead. Liver, Lungs, Spleen  HeartnFive months later, the veterans reunite to steal over 150 million from the Fortico depot on Black Friday weekend. Jacksons crew boards Hs and Bullets truck, while Bullet had disabled the cameras. Bullet needed H to get the crew inside the depot. The crew takes the depot hostage, but an alarm is triggered in the ensuing gunfight, Bullet kills Dana and Dave, and Hargreaves kills several of the robbers. Fleeing with Bullet and Jackson, Jan kills them to escape alone with the money."
wrong turn,Germany,2021,5.5,R,R,"Horror, Thriller",Mild,Severe,Severe,Mild,Severe,"Jessie, Carly, and Scott go to the woods to find help. As Chris, Jessie, Carly and Scott try to find help, they find an isolated cabin. Chris gets into the truck, and they try to find Scott. The cannibals pick up Scotts dead body and take it back to their cabin. Chris, Jessie and Carly hit a dead end in the road and have to continue on foot, but Carly stays and is still depressed from Scotts loss. Chris and Jessie make it to the other tree, but unfortunately Three Finger sneaks up behind Carly and slices her head in half with an axe and her body falls through the trees, as Chris and Jessie watch in horror. Just as they find a road out of the woods, the mountain men find them and push Chris down the hill and capture Jessie and take her back to their cabin. Chris hides and watches as the cannibal loads up the Sheriffs body into the truck and drives it back to the cabin. Chris and Jessie, driving the cannibals truck, stop back at the gas station. Chris gets back into the truck, as Jessie drives for the woods, and the credits roll."
yakuza princess,Brazil,2021,4.4,R,R,Thriller,Severe,Severe,Moderate,Mild,Mild,"The heiress to half of the Yakuza crime syndicate forges an uneasy alliance with an amnesiac stranger who believes an ancient sword binds their two fates. She must unleash war against the other half of the syndicate who wants her dead. , Set in the expansive Japanese community of Sao Paulo in Brazil  the largest Japanese diaspora in the world  YAKUZA PRINCESS follows Akemi MASUMI qv, an orphan who discovers she is the heiress to half of the Yakuza crime syndicate. Forging an uneasy alliance with an amnesiac stranger Jonathan Rhys Meyers qv who believes an ancient sword binds their two fates, Akemi must unleash war against the other half of the syndicate who wants her dead."
yes day,United States,2021,5.7,PG,PG,"Comedy, Family",None,Mild,None,None,None," Mr.  Deacon Nat Faxon, a school employee and father, overhears and shares with them that he maintains order in his house by having a yes day from time to time one 24hour period wherein the parents cannot say no, within reason. Carlos and Allison present the idea to the kids, telling them that if they dont get into trouble, do their chores and keep their grades up, they can have a yes day as a reward. But a flock of crows attack Carlos as they think he is stealing a baby, and he is taken to the emergency room. Carlos wants to drop out, but Allison figures that its because of work. Allison is sick of being the bad cop of the house and wants Carlos to inform the kids himself. The fourth event is a trip to a theme park, where the family ride roller coasters.  Katie goes to Fleekfest with Layla, but quickly becomes uncomfortable being alone with older boys, and her friend abandons her."
zack snyders justice league,United States,2021,8.1,R,PG-13,"Action, Adventure, Fantasy",None,Moderate,Mild,Mild,Moderate,"Diana goes to find Bruce in his home. Diana makes it urgent to Bruce that they find the Boxes before Steppenwolf does. Diana and Bruce go over the files of Arthur, Barry, and Victor. Silas vowed to keep him alive and used the power of the Mother Box kept in STAR Labs to turn him into Cyborg. Barry goes home and finds Bruce there waiting for him. Before Steppenwolf can kill Mera, Aquaman comes in to save her, but Steppenwolf leaves with the Box. Cyborg then flies away and returns with the last Mother Box. Wonder Woman, Aquaman, Flash, and Cyborg all stand outside as Superman comes down. Steppenwolf then shows up for the Box, which Silas has taken into a chamber in the lab. Batman fires from the Batmobile, Cyborg uses his lasers, Wonder Woman and Aquaman fly to fight them, and Flash speeds through them."
zone 414,United Kingdom,2021,4.9,R,R,"Sci-Fi, Thriller",Mild,Moderate,Severe,Mild,None,"When the genius inventor who created the robots and whose corporation runs Zone 414 realizes that his adult daughter Melissa has gone missing inside Zone 414, he hires private investigator David Carmichael to bring her home. Marlon tells David that Melissa, his adult daughter, has gone missing inside Zone 414. David pairs up with Jane, a highly advanced and selfaware robot with artificial intelligence, to track down the missing daughter. He asks Royale about Melissa and she tells him that the daughter was pretending to be a robot and was hanging out at a gritty part of the city. David returns Melissas body to Marlon and suggests that the authorities be alerted to Zone 414s dangers. When David meets Joseph Veidt to receive his payment, David goads the psychologist into admitting that he was stalking Jane. He tells David that when Melissa caught him torturing and killing androids, he killed her. When David returns to see Jane, he offers his gun to Jane and she shoots Joseph dead. Marlon Veidt is seen making adjustments to an android that looks exactly like Melissa so she may have been a lifelike android all along or Veidt may be replacing the dead human daughter with an android. In the final scene, the Veidt Corporation gets David to record a statement claiming that Zone 414 is safe and they threaten David with legal action if he criticizes the android city."
ambulance,United States,2022,No Rate,None,,"Action, Crime, Drama",No Rate,No Rate,No Rate,No Rate,No Rate,"Danny forces Cam to convince the SIS team to let them through the barricade as she has a dying cop inside the ambulance. When Cam stops Danny from shooting Mark, who has been chasing them, Danny threatens to throw her off the ambulance. Clark calls Cam, on Zachs phone which was still on his person inside the ambulance and tells her to get down. Papi demands the brothers to leave Zach and Cam with them to deal with Will refuses to cooperate and teams up with Danny to kill Papi and his crew. In the ambulance, Zach regains consciousness and gives his Partners gun to Cam. Danny puts Will into the Ambulance. Danny takes the ambulance to a hospital and discovers Zachs gun. Danny says that Will was the one who saved Zach and Cam. The police arrest a heavily injured Will and take him inside for surgery after Cam says that he saved Zachs life. Cam secretly gives some of the heist money to Amy for her surgery, and Zach, when questioned by the police about his injuries, tells them that Will saved his life."
asteroid city,United States,2022,No Rate,None,,"Comedy, Romance",No Rate,No Rate,No Rate,No Rate,No Rate,"In the play, a youth astronomy convention is held in the fictional desert town of Asteroid City. In the play, war photojournalist Augie Steenbeck arrives early to the Junior Stargazer convention with Woodrow, his intellectual teenage son, and his three younger daughters. Augie and Woodrow meet Midge Campbell, a famous but worldweary actress, and her daughter Dinah, who, like Woodrow, will be honored at the convention. Augie and Midge, and Woodrow and Dinah, gradually fall in love throughout the play. The Stargazer honorees use Dr.  Hickenloopers equipment to attempt to contact the alien. During the recorded performance of the play, Hall, who plays Augie, confronts the plays director Schubert Green, saying he still doesnt understand the play, and asks Green if he is doing him right. She recites the deleted scenes text to him. Six months into the plays run, Conrad Earp dies in an automobile accident. Augies daughters bury their mothers ashes in the desert, Woodrow wins the fellowship funding, and Midge leaves Augie her mailing address."
avatar the way of water,United States,2022,No Rate,None,,"Action, Adventure, Sci-Fi",No Rate,No Rate,No Rate,No Rate,No Rate,"Over a decade after the events of the first film, the film begins with Jake Sully narrating his modest and peaceful life as Chief of the Omaticaya Clan and raising a family with his wife Neytiri, which includes his sons Neteyam and Loak and his daughter Tuk, his adopted daughter Kiri born from Grace Augustines comatose Navi avatar, and a human boy named Spider, the son of Miles Quaritch who was born on Pandora but was unable to be transported to Earth in cryostasis as an infant. While Jake is able to accept Spider as an adopted son, Neytiri is distrustful of him given his human origins. Jake and Neytiri arrive in time and free most of them, but Spider is taken by Quaritch, who recognizes him as his son. Kiri is fascinated with the aquatic life of Metkayina and develops a spiritual bond with the sea and its creatures, while Loak befriends Tsireya, the daughter of clan chief Tonowari and his wife Ronal. However, Loak is saved by and befriends Payakan, a tulkun, an intelligent and pacifistic cetacean species whom the Metkayina consider their spiritual family. They find Payakan being chased by the whalers, and Loak, Tsireya, and Tuk are captured by Quaritch. Informed that their children in danger, Jake, Neytiri and the Metkayina set out to confront the humans. When Neytiri does the same with Spider, Quaritch at first denies his son, but desists when Neytiri cuts Spider on the chest. Jake, Quaritch, Neytiri and Tuk end up trapped inside the sinking vessel. Jake strangles Quaritch into unconsciousness and is rescued by Loak and Payakan, and Kiri summons sea creatures to help her save Neytiri and Tuk."
babylon,United States,2022,No Rate,None,,Drama,No Rate,No Rate,No Rate,No Rate,No Rate,"Later that day, Jack goes to work on a crusader epic film. Meanwhile, Jack helps Manny get assistant work on films. Manny goes to the theater and watches The Jazz Singer, one of the first talkie films. A few days later back in Hollywood, Nellie goes to work on a talking picture, but the set is too hot and causes stress on her, plus Ruth since she is badgered by the sound mixer Lloyd Carson Higgins over how loud or how quiet Nellie is, along with other distractions. Another evening or two later, Manny goes to another wild party where Jack arrives with his third wife, Estelle Katherine Waterston. Jack, Nellie, Manny, Fay, Robert, and other guests drive into the desert where Nellie encounters a rattlesnake and tells Robert to fight it. Bob is impressed with Mannys work and offers him an executive position, but he tells Manny that he needs to do something about Nellie, as her reputation is going downhill due to her constant partying and gambling, as well as her alleged relationship with Fay, which gets Fay fired since Hollywood is becoming more puritanical. When Manny stresses that they need to go soon, Nellie breaks down over all the trouble she has put Manny through, especially as he tells her how much he loves her. They agree to marry in Mexico and start a new life. One of McKays thugs shows up and kills The Count and his roommate."
black adam,United States,2022,No Rate,None,,"Action, Fantasy, Sci-Fi",No Rate,No Rate,No Rate,No Rate,No Rate,"Archaeologist Adrianna Tomaz tries to locate the Crown of Sabbac, with the help of her brother Karim, and colleagues, Samir and Ishmael. As they fight, Fate senses that Adrianna has the Crown of Sabbac. Meanwhile, Adrianna and the JSA meet Adam, and attempt to convince him that he can be a hero to Khandaq, before Amon calls Adrianna, who pleads to Adam to save him. As Adam and Hawkman fight, they find that Amon hid the Crown of Sabbac in plain sight. As Adam tries to save Amon, he loses control again and destroys the hideout with his power, until the JSA protects Amon and Adrianna as Ishmael dies in the process. Adrianna and Amon fight them, with Karim joining them. Fate then fights Sabbac alone, and at the same time uses astral projection to release Adam from his suspended animation so Adam can help them. Adam manages to escape the prison, but Sabbac kills Fate. Fates death causes the force field to disappear, allowing Hawkman, Cyclone and Atom Smasher try to fight Sabbac, who overpowers them. Hawkman uses Fates helmet to create magical duplicates and spells, having learned from Fate, to help Adam kill Sabbac, ultimately stopping the undead."
black panther wakanda forever,United States,2022,No Rate,None,,"Action, Adventure, Drama",No Rate,No Rate,No Rate,No Rate,No Rate,"TChalla Chadwick Boseman, king of Wakanda, is dying from an unspecified terminal illness which his sister Shuri Letitia Wright The princess of Wakanda who designs new technology for the nation believes can be cured by the heartshaped herb. nIn the Atlantic Ocean, the CIA and U. S.  Navy SEALs utilize a Vibranium detector to locate a potential Vibranium deposit underwater. Blaming Wakanda for the Vibranium race, he gives them an ultimatum deliver him the scientist responsible for the Vibranium detector, or he will attack Wakanda. Namor shows Shuri his Vibraniumrich underwater kingdom of Talokan, which he has protected for centuries from discovery by the world. Namor says that he comes from the Yucatan peninsula. nMeanwhile, Ross is arrested by his exwife, CIA director Valentina Allegra De Fontaine Julia LouisDreyfus, for secretly exchanging classified intelligence with the Wakandans. After Ramondas funeral, Shuri uses a remnant of the herb that gave Namors people their superhuman abilities to reconstruct the heartshaped herb. He can be weakened if dried out. Shuri dons a new Black Panther suit and is accepted by the other Wakandan tribes as the Black Panther. In a midcredits scene, Shuri learns that Nakia and TChalla had a son named Toussaint, whom Nakia has been raising in secret."
blonde,United States,2022,No Rate,None,,"Biography, Drama, Romance",No Rate,No Rate,No Rate,No Rate,No Rate,"As a young girl, Norma Jeane Mortenson grows up raised by her mentally unstable mother Gladys. Later that night, a fire breaks out in the Hollywood Hills, and Gladys drives Norma Jeane up there, claiming that her father lives there, but is forced to go back home at the orders of the police. An enraged Gladys tries to drown Norma Jeane in the bathtub when she asks about her father but lets her go. A few days later, Norma Jeane is sent to an orphanage while Gladys is admitted to a mental hospital, having been declared unfit to raise a child. Following the abortion, she breaks things off with Cass and Eddy. She later meets Joe DiMaggio, a retired athlete who sympathizes with her when she expresses her desire to leave Hollywood and become a more serious actress in New York City. She returns to her hotel room, having been told that someone is waiting for her. However, she still goes through with filming, doing the famous publicity stunt with the white dress. In 1955, Norma Jeane auditions for the Broadway play Magda, written by renowned playwright Arthur Miller. She is overwhelmed by the constant press attention, feels that she is becoming a joke, has frequent outbursts on set, especially toward director Billy Wilder, and grows increasingly distant from Arthur."
bullet train,Japan,2022,No Rate,None,,Action,No Rate,No Rate,No Rate,No Rate,No Rate,"With an associate at the hospital ready to finish the boy off, the Prince forces Kimura to cooperate with her plan rigging the briefcase and Kimuras gun with explosives to kill White Death. Stealing the briefcase, Ladybug is forced to kill another assassin, The Wolf, who arrives seeking revenge for the deaths of his wife and his entire cartel, poisoned at their wedding. The Prince leads Tangerine to believe Ladybug is responsible, while Ladybug attempts to negotiate with Lemon but is forced to subdue him. Ladybug runs into the Wolfs intended target, The Hornet  the poisoner who massacred his wedding, hired to kill White Deaths son. Fighting Tangerine to a stalemate, Ladybug tries to help him convince White Deaths men that his son and the briefcase are safe, then kicks Tangerine off the train. The train arrives in Kyoto, and Ladybug is met by White Death and his men. The White Death reveals that he hired all the assassins aboard the train as revenge for the murder of his wife. Blaming the brothers, Carver, the Hornet and his own son, White Death arranged for all the assassins  including the Wolf, and Ladybug, who unwittingly replaced Carver on the train  to kill each other and his son. Before White Death can kill Ladybug, the briefcase bomb is triggered, knocking them both onto the train which Lemon sets back in motion. As the train speeds out of control, the Elder duels White Death while Kimura and Ladybug fight off his henchmen."
dc league of superpets,United States,2022,No Rate,None,,"Animation, Action, Adventure",No Rate,No Rate,No Rate,No Rate,No Rate,"Ace reveals to Krypto that Superman is inside the shelter trying to find a new companion for Krypto. nLater, Superman and Krypto spot their archenemy, LexCorp CEO Lex Luthor Marc Maron, reeling in a meteor strapped with orange kryptonite with a tractor beam, intending to gain superpowers The Orange kryptonite gives powers, instead of taking them like the green one. However, Clark is captured by Lulu who uses green kryptonite to rob Superman of his powers. nLater, Krypto comes across the shelter pets who were enjoying their freedom in the park, who agree to help him, with Ace only agreeing after Krypto blackmails him Ace had told the crew that they were going to a farm, but Krypto knew that there was no farm and that Ace was bluffing. Meanwhile, Lulu recruits a group of guinea pigs whom she gives superpowers, captures the Justice League, and heads to Strykers Island to free Luthor. Krypto manages to get close to Lulu and tells her that Lex tested on her. She was never Lexs colleague and he only used her to perfect his weapons. Krypto finally learns how to get the pets working together like a team and they trap whiskers. Enraged, Lulu puts the orange kryptonite in her brain, becoming a Kaijusized version of herself. In the aftermath, Krypto allows Clark to marry Lois."
death on the nile,United States,2022,No Rate,None,,"Crime, Drama, Mystery",No Rate,No Rate,No Rate,No Rate,No Rate,"Bouc introduces Poirot to his friends Linnet and Simon, who have married and are celebrating their honeymoon. The honeymoon is joined by several guests Linnets longtime maid Louise Bourget Salome Salomes niece and manager and Linnets old classmate Rosalie Linnets communistleaning godmother Marie Van Schuyler Van Schuylers nurse Mrs.  Bowers Linnets cousin Andrew Katchadourian, who is in charge of Linnets will and doctor Linus Windlesham, who had been engaged to Linnet before she left him for Simon. Linnet and Simon request protection from Poirot as Jackie has followed them there, having become an obsessive stalker wanting to win Simon back after their engagement fell apart. Bouc and Rosalie bring Jackie to be tended by Mrs.  Bowers, while Windlesham tends to Simons wound. Windlesham is revealed to be part of an aristocratic family, but has given up his privilege to help people as a doctor. As tension raises high among the guests, Poirot sees the shape of a possible witness near blood splatter from Louises murder. Before he could reveal the killer, Bouc is assassinated from afar Poirot chases after the killer and fails to catch them, only finding Andrews gun left behind. He used the short amount of time to kill Linnet, with Louise witnessing it, and then shot himself in the leg with Van Schuylers scarf as a silencer in time for Windlesham to arrive. In London, a cleanshaven Poirot visits Salomes jazz club to watch her perform."
deep water,Australia,2022,No Rate,None,,Thriller,No Rate,No Rate,No Rate,No Rate,No Rate,"Vic has retired early after developing guidance chips for combat drones, and his complicated relationship with Melinda is held together by a precarious arrangement they sleep apart and Melinda takes lovers openly, even in their family home, while Vic finds solace in raising his large collection of snails. Melinda invites her latest lover, Joel, to a neighbours party. Vic confronts Melinda after she gives money to Charlie, her new lover and piano teacher. She invites Charlie to a friends pool party and introduces him to Vic, toying with his jealousy. After Melinda discovers Charlies body drowned in the pool, the party is questioned by police, and Melinda is quick to accuse Vic of murdering Charlie. She invites Tony to dinner with Vic and takes him to her bedroom, furthering Vics jealousy. Vic lures Tony into his car and drives him to a secluded spot he and Melinda share, overlooking a rocky gorge. Melinda takes Vic and their daughter on a picnic to the same spot. At home, Melinda finds Tonys wallet in one of Vics snail vivaria. Vic arrives home, where Melinda tells him that she saw Tony."
disenchanted,United States,2022,No Rate,None,,"Animation, Adventure, Comedy",No Rate,No Rate,No Rate,No Rate,No Rate,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process. , Ten years after her happily ever after, Giselle, Robert, and Morgan move to a new house in the suburb of Monroeville with their newest addition. The community is overseen by Malvina Monroe, who has nefarious intentions for the family. When problems arise, Giselle wishes that their lives were the perfect fairytale. The spell backfires, with Giselle rushing to save her family and her homeland of the Kingdom of Andalasia before the clock strikes midnight. "
doctor strange in the multiverse of madness,United States,2022,No Rate,None,,"Action, Adventure, Fantasy",No Rate,No Rate,No Rate,No Rate,No Rate,"That Strange is killed and Chavez accidentally creates a portal that transports herself and Stranges corpse to Earth616, where that universes version of Strange rescues Chavez from another demon with help from the Sorcerer Supreme, Wong Benedict Wong The Sorcerer Supreme of Earth616 and Stranges mentor and friend. Under stress, Chavez accidentally transports herself and Strange to Earth838 from where she cant go back as she cant control her powers. CHavez herself doesnt have a counterpart in any other universe while Maximoff uses the Darkhold to dreamwalk Projecting her consciousness into her alternate from any other Universe, taking control of her Earth838 counterpart, who lives a suburban life with her own Billy and Tommy. nThey explain that through reckless use of their universes Darkhold in an attempt to defeat Thanos, Earth838s Strange triggered a universedestroying incursion when boundaries between 2 universes are blurred, they collide, destroying one of both of the universes. Mordo believes that Earth616s Strange is similarly dangerous, but Maximoff reestablishes her dreamwalk at Mount Wundagore and arrives in her Earth838 counterparts body before they can pass judgment. Strange, Chavez and Palmer enter the space between universes to find the Book of Vishanti, which is the antithesis to the Darkhold, but Maximoff appears and destroys it. She also uses Chavez to send her back to Earth 616, where Maximoff disconnects the dreamwalk with her 838 self. Strange defeats the destroyed universes Strange, who has been corrupted by his universes Darkhold, and uses it to dreamwalk into the body of his deceased counterpart on Earth616. With Wongs help, Strange saves Chavez from Maximoff as she tries to take Chavezs powers, and encourages Chavez to use her abilities. Chavez returns Strange and Palmer to their respective universes."
dont worry darling,United States,2022,No Rate,None,,"Crime, Drama, Horror",No Rate,No Rate,No Rate,No Rate,No Rate,"Every day, the men go to work at Victory Headquarters out in the surrounding desert, while their wives Alice, her friend Bunny, the pregnant Peg, newcomer Violet, and Margaret stay home to clean, relax, and prepare dinner for their husbands. Later, while Alice and Jack secretly have sex in Franks bedroom, Alice realizes Frank is observing them but says nothing. Spurred on by Franks confession, Alice attempts to expose him and the inconsistencies in Victory over dinner. During the procedure, Alice sees visions of herself in another life  as a present day surgeon named Alice Warren, who lives with the unemployed Jack and struggles to make ends meet. Alice is found with Jacks body by Bunny, who explains that she has known all along that Victory is a simulation but chooses to stay so she can be with her children, who are dead in real life. She tricks Dr.  Collins into killing himself and several others in a car crash. Alice makes it to Victory Headquarters, where she encounters a vision of Jack asking her to stay. Alice ignores the vision and rushes to the window just before Franks men reach her."
downton abbey a new era,United Kingdom,2022,No Rate,None,,"Drama, Romance",No Rate,No Rate,No Rate,No Rate,No Rate,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countesss newly inherited villa.
fantastic beasts the secrets of dumbledore,United Kingdom,2022,No Rate,None,,"Adventure, Family, Fantasy",No Rate,No Rate,No Rate,No Rate,No Rate,"Unable to battle Grindelwald due to their blood pact, Albus Dumbledore recruits Newt, Newts brother Theseus, Ilvermorny Charms teacher Lally Hicks, SenegaleseFrench wizard Yusuf Kama, American NoMaj Jacob Kowalski, and Newts assistant Bunty Broadacre to thwart Grindelwalds plan for world domination. Dumbledore dispatches Newt to the Erkstag, the secret German wizarding prison, to find Theseus. Meanwhile, Credence battles Albus Dumbledore, who quickly defeats him. Credence learns he is the illegitimate son of Aberforth Dumbledore, Albus Dumbledores brother. Credence then questions his loyalty to Grindelwald. Wizarding world leaders gather in Bhutan for the Walk of the Qilin ritual, where a Qilin selects a worthy new Supreme Mugwump. Grindelwald foresees Dumbledore and Newt smuggling the surviving twin Qilin to the ceremony in a suitcase. Using necromancy, Grindelwald reanimates the dead Qilin and manipulates it to choose him during the Supreme Mugwump selection ceremony. However, Credence, Newt, and Bunty expose him. Enraged, Grindelwald tries to kill Credence by casting the killing curse, but Credence is simultaneously protected by Aberforth his father and Albus his uncle."
halloween ends,United States,2022,No Rate,None,,"Horror, Thriller",No Rate,No Rate,No Rate,No Rate,No Rate,"An observing Laurie brings him to the doctors office where Allyson works. Allyson and Corey develop a relationship and later attend a Halloween party, where Corey is confronted by Jeremys mother. Corey then kills the doctor at his home while the nurse is killed by Michael. An unknowing Allyson plans to leave Haddonfield with an insistent Corey because of the past trauma, while Laurie becomes increasingly suspicious of Corey. On October 31, Corey returns to the sewers and successfully fights Michael for his mask. Meanwhile, Laurie and Allyson argue as she plans to leave, and Allyson, too, blames Laurie for Michaels actions. Corey then stabs himself in the neck to frame Laurie for his death in front of the arriving Allyson. Michael suddenly arrives and kills Corey. After a struggle, Allyson arrives to help subdue and finally kill him. In the ensuing days, Allyson and Laurie reconcile, and Allyson leaves Haddonfield while Laurie finishes her memoir and rediscovers her romance with Deputy Hawkins."
hocus pocus 2,United States,2022,No Rate,None,,"Comedy, Family, Fantasy",No Rate,No Rate,No Rate,No Rate,No Rate,"Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the childhungry witches from wreaking havoc on the world. , Two young women accidentally bring back the Sanderson Sisters to modernday Salem and must figure out how to stop the childhungry witches from wreaking havoc on the world. The world may have been free of Winifred, Mary, and Sarah and the fear they invoked in us all, but what happens when you mess with magic? "
hustle,United States,2022,No Rate,None,,"Comedy, Drama, Sport",No Rate,No Rate,No Rate,No Rate,No Rate,"A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA. , After being fired, pro basketball scout, Stanley Sugerman, is excited, for the first time in a very long while, when he serendipitously discovers Spanish amateur baller, Bo Cruz, playing in a park outside Madrid. Fueled with newfound purpose, Stanley makes it his mission to groom Bo for the NBA as he believes they both can make it. , Bo Cruz is a young man in Spain who is a very good basketball player but is unknown in the sports world. He is discovered by a visiting American basketball scout Stanley  ex NBA who sees great potential in him. He trains him rigorously and grooms him for NBA. Stanley also sees this as a chance to get back into NBA. Will he be successful in his mission?Madan Marwah"
john wick chapter 4,Germany,2022,No Rate,None,,"Action, Crime, Thriller",No Rate,No Rate,No Rate,No Rate,No Rate,"In response, the Marquis Vincent de Gramont, a High Table member, summons New York Continental hotel manager Winston and his concierge, Charon. The Marquis then enlists Caine  a blind, retired High Table assassin  to kill his old friend, John, threatening to murder Caines daughter otherwise. The Marquis secondincommand Chidi, backed by High Table assassins and Caine, arrives to investigate the hotel. Mr.  Nobody, a bounty hunter, interrupts their fight and facilitates Johns escape after determining the bounty for killing John to be insufficient. Winning would free John of all obligations to the High Table, but he can only request a duel on behalf of a crime family. Winston relays Johns formal challenge to the Marquis. The Marquis nominates a reluctant Caine to take his place John and Winston will be executed should either fail to appear on time. The Harbinger grants Caine and John their freedom from the High Table, and Winston is reinstated. After collapsing on the staircase, John reflects upon his life and marriage before succumbing to his injuries."
jurassic world dominion,United States,2022,No Rate,None,,"Action, Adventure, Sci-Fi",No Rate,No Rate,No Rate,No Rate,No Rate,"She was already invited by their old friend, Dr.  Ian Malcolm Jeff Goldblum. The mercenaries soon make their move and capture Beta. Claire contacts Franklin, who now works for the CIA. He manages to board Kaylas plane just as she is getting ready to take off with Claire, and Owen uses the motorcycle to knock the dino off the ramp and into the ocean. Maisie arrives at HQ and meets Wu. She joins them as they run. They are found by Ramsay, who agrees to help them because he finds BioSyns work to be unethical. Ian works with Ramsay to get back to Ians friends. While the heroes work on an escape plan, BioSyn starts to burn to the ground, forcing the employees to flee."
lightyear,United States,2022,No Rate,None,,"Animation, Adventure, Comedy",No Rate,No Rate,No Rate,No Rate,No Rate,"Buzz volunteers to test hyperspace fuel, a key component of the repairs. nBuzz is introduced to Sox Peter Sohn, a robotic feline who has been assigned to give him company after his long duration away from the colony, and continues testing the hyperspace fuel. nUpon landing, Buzz discovers 22 years have passed, during which TKani Prime has been invaded by Zyclops robots led by the mysterious Zurg James Brolin. The Zurg tracks them down at the mine and attacks the group, but strangely only goes after Buzz. Aided by the effects of time dilation, he traveled to the far future, encountering a technologically advanced and abandoned vessel. He assumed Zurgs identity by wearing his signature Mecha suit, and traveled to the nowpresent to obtain more hyperspace fuel from Buzz in order to travel further back in time and prevent the exploration vessel from landing on TKani Prime in the first place. Meanwhile, Izzy, Mo, Darby, and Sox board Zurgs ship to assist Buzz. However, Zurg, having survived his ships destruction, arrives and attacks Buzz, grabbing the hyperspace fuel. Buzz shoots the fuel, causing it to explode and incapacitate Zurg. With the fuel gone, Buzz wishes to stay on TKani Prime."
minions the rise of gru,United States,2022,No Rate,PG,,"Animation, Adventure, Comedy",No Rate,No Rate,No Rate,No Rate,No Rate,"Nefario hands it over to Gru and then walks him through thenhidden passageway that leads to the Vicious 6s lair. nGru flees on his horse while the six warriors pursue him. Knuckles, whonwas there the whole time, now follows Gru around in his vehicle after seeing all that happened. Because of Ottos mistake, Gru is fuming with rage, and he immediately fires all ofnthe Minion workers. nThey go to the airport, where they put on disguises and pretend to be pilots and a flightnattendant in order to join the following flight. He takes Gru along with him on the burglary. In spite of Grus protests, he breaks thennews to him that he is given up and just instructs him to go back home. Otto ultimatelyncauses a commotion by dashing into the crowd. Belle transformsninto a dragon that breathes fire with his lobster claw arm."
